"","...1","name","Season","visit_year","total","Acres","Year","County or Counties","region"
"136",137,"Camden State Park","Winter",2022,156,1855,1935,"Lyon","Southern"
"137",138,"Carley State Park","Fall",2018,1975,209,1949,"Wabasha","Southern"
"138",139,"Carley State Park","Fall",2019,2377,209,1949,"Wabasha","Southern"
"139",140,"Carley State Park","Fall",2020,5182,209,1949,"Wabasha","Southern"
"140",141,"Carley State Park","Fall",2021,2163,209,1949,"Wabasha","Southern"
"141",142,"Carley State Park","Spring",2018,2956,209,1949,"Wabasha","Southern"
"142",143,"Carley State Park","Spring",2019,3479,209,1949,"Wabasha","Southern"
"143",144,"Carley State Park","Spring",2020,7926,209,1949,"Wabasha","Southern"
"144",145,"Carley State Park","Spring",2021,5825,209,1949,"Wabasha","Southern"
"145",146,"Carley State Park","Summer",2018,5098,209,1949,"Wabasha","Southern"
"146",147,"Carley State Park","Summer",2019,3851,209,1949,"Wabasha","Southern"
"147",148,"Carley State Park","Summer",2020,5932,209,1949,"Wabasha","Southern"
"148",149,"Carley State Park","Summer",2021,4503,209,1949,"Wabasha","Southern"
"149",150,"Carley State Park","Winter",2018,2758,209,1949,"Wabasha","Southern"
"150",151,"Carley State Park","Winter",2019,900,209,1949,"Wabasha","Southern"
"151",152,"Carley State Park","Winter",2020,1269,209,1949,"Wabasha","Southern"
"152",153,"Carley State Park","Winter",2021,2410,209,1949,"Wabasha","Southern"
"153",154,"Carley State Park","Winter",2022,364,209,1949,"Wabasha","Southern"
"154",155,"Cascade River State Park","Fall",2018,18474,2867,1957,"Cook","Arrowhead"
"155",156,"Cascade River State Park","Fall",2019,21604,2867,1957,"Cook","Arrowhead"
"156",157,"Cascade River State Park","Fall",2020,26734,2867,1957,"Cook","Arrowhead"
"157",158,"Cascade River State Park","Fall",2021,19841,2867,1957,"Cook","Arrowhead"
"158",159,"Cascade River State Park","Spring",2018,16218,2867,1957,"Cook","Arrowhead"
"159",160,"Cascade River State Park","Spring",2019,13523,2867,1957,"Cook","Arrowhead"
"160",161,"Cascade River State Park","Spring",2020,8314,2867,1957,"Cook","Arrowhead"
"161",162,"Cascade River State Park","Spring",2021,27337,2867,1957,"Cook","Arrowhead"
"162",163,"Cascade River State Park","Summer",2018,38672,2867,1957,"Cook","Arrowhead"
"163",164,"Cascade River State Park","Summer",2019,44915,2867,1957,"Cook","Arrowhead"
"164",165,"Cascade River State Park","Summer",2020,52572,2867,1957,"Cook","Arrowhead"
"165",166,"Cascade River State Park","Summer",2021,47878,2867,1957,"Cook","Arrowhead"
"166",167,"Cascade River State Park","Winter",2018,7345,2867,1957,"Cook","Arrowhead"
"167",168,"Cascade River State Park","Winter",2019,4273,2867,1957,"Cook","Arrowhead"
"168",169,"Cascade River State Park","Winter",2020,5140,2867,1957,"Cook","Arrowhead"
"169",170,"Cascade River State Park","Winter",2021,8593,2867,1957,"Cook","Arrowhead"
"170",171,"Cascade River State Park","Winter",2022,1306,2867,1957,"Cook","Arrowhead"
"171",172,"Charles A Lindbergh State Park","Fall",2018,2251,417,1931,"Morrison","Heartland"
"172",173,"Charles A Lindbergh State Park","Fall",2019,4224,417,1931,"Morrison","Heartland"
"173",174,"Charles A Lindbergh State Park","Fall",2020,4279,417,1931,"Morrison","Heartland"
"174",175,"Charles A Lindbergh State Park","Fall",2021,3977,417,1931,"Morrison","Heartland"
"175",176,"Charles A Lindbergh State Park","Spring",2018,2795,417,1931,"Morrison","Heartland"
"176",177,"Charles A Lindbergh State Park","Spring",2019,2603,417,1931,"Morrison","Heartland"
"177",178,"Charles A Lindbergh State Park","Spring",2020,5066,417,1931,"Morrison","Heartland"
"178",179,"Charles A Lindbergh State Park","Spring",2021,4793,417,1931,"Morrison","Heartland"
"179",180,"Charles A Lindbergh State Park","Summer",2018,6284,417,1931,"Morrison","Heartland"
"180",181,"Charles A Lindbergh State Park","Summer",2019,10634,417,1931,"Morrison","Heartland"
"181",182,"Charles A Lindbergh State Park","Summer",2020,9852,417,1931,"Morrison","Heartland"
"182",183,"Charles A Lindbergh State Park","Summer",2021,6438,417,1931,"Morrison","Heartland"
"183",184,"Charles A Lindbergh State Park","Winter",2018,853,417,1931,"Morrison","Heartland"
"184",185,"Charles A Lindbergh State Park","Winter",2019,888,417,1931,"Morrison","Heartland"
"185",186,"Charles A Lindbergh State Park","Winter",2020,1113,417,1931,"Morrison","Heartland"
"186",187,"Charles A Lindbergh State Park","Winter",2021,2333,417,1931,"Morrison","Heartland"
"187",188,"Charles A Lindbergh State Park","Winter",2022,167,417,1931,"Morrison","Heartland"
"188",189,"Crow Wing State Park","Fall",2018,7217,2335,1959,"Crow Wing, Cass, and Morrison","Heartland"
"189",190,"Crow Wing State Park","Fall",2019,5975,2335,1959,"Crow Wing, Cass, and Morrison","Heartland"
"190",191,"Crow Wing State Park","Fall",2020,9592,2335,1959,"Crow Wing, Cass, and Morrison","Heartland"
"191",192,"Crow Wing State Park","Fall",2021,7664,2335,1959,"Crow Wing, Cass, and Morrison","Heartland"
"192",193,"Crow Wing State Park","Spring",2018,3487,2335,1959,"Crow Wing, Cass, and Morrison","Heartland"
"193",194,"Crow Wing State Park","Spring",2019,3149,2335,1959,"Crow Wing, Cass, and Morrison","Heartland"
"194",195,"Crow Wing State Park","Spring",2020,7135,2335,1959,"Crow Wing, Cass, and Morrison","Heartland"
"195",196,"Crow Wing State Park","Spring",2021,5953,2335,1959,"Crow Wing, Cass, and Morrison","Heartland"
"196",197,"Crow Wing State Park","Summer",2018,17540,2335,1959,"Crow Wing, Cass, and Morrison","Heartland"
"197",198,"Crow Wing State Park","Summer",2019,15659,2335,1959,"Crow Wing, Cass, and Morrison","Heartland"
"198",199,"Crow Wing State Park","Summer",2020,17946,2335,1959,"Crow Wing, Cass, and Morrison","Heartland"
"199",200,"Crow Wing State Park","Summer",2021,12241,2335,1959,"Crow Wing, Cass, and Morrison","Heartland"
"200",201,"Crow Wing State Park","Winter",2018,1959,2335,1959,"Crow Wing, Cass, and Morrison","Heartland"
"201",202,"Crow Wing State Park","Winter",2019,696,2335,1959,"Crow Wing, Cass, and Morrison","Heartland"
"202",203,"Crow Wing State Park","Winter",2020,941,2335,1959,"Crow Wing, Cass, and Morrison","Heartland"
"203",204,"Crow Wing State Park","Winter",2021,1372,2335,1959,"Crow Wing, Cass, and Morrison","Heartland"
"204",205,"Crow Wing State Park","Winter",2022,260,2335,1959,"Crow Wing, Cass, and Morrison","Heartland"
"205",207,"Father Hennepin State Park","Fall",2018,9283,275,1941,"Mille Lacs","Heartland"
"206",208,"Father Hennepin State Park","Fall",2019,9575,275,1941,"Mille Lacs","Heartland"
"207",209,"Father Hennepin State Park","Fall",2020,10691,275,1941,"Mille Lacs","Heartland"
"208",210,"Father Hennepin State Park","Fall",2021,10780,275,1941,"Mille Lacs","Heartland"
"209",211,"Father Hennepin State Park","Spring",2018,10388,275,1941,"Mille Lacs","Heartland"
"210",212,"Father Hennepin State Park","Spring",2019,6234,275,1941,"Mille Lacs","Heartland"
"211",213,"Father Hennepin State Park","Spring",2020,4839,275,1941,"Mille Lacs","Heartland"
"212",214,"Father Hennepin State Park","Spring",2021,10751,275,1941,"Mille Lacs","Heartland"
"213",215,"Father Hennepin State Park","Summer",2018,42601,275,1941,"Mille Lacs","Heartland"
"214",216,"Father Hennepin State Park","Summer",2019,32630,275,1941,"Mille Lacs","Heartland"
"215",217,"Father Hennepin State Park","Summer",2020,42678,275,1941,"Mille Lacs","Heartland"
"216",218,"Father Hennepin State Park","Summer",2021,31781,275,1941,"Mille Lacs","Heartland"
"217",219,"Father Hennepin State Park","Winter",2018,2486,275,1941,"Mille Lacs","Heartland"
"218",220,"Father Hennepin State Park","Winter",2019,1123,275,1941,"Mille Lacs","Heartland"
"219",221,"Father Hennepin State Park","Winter",2020,754,275,1941,"Mille Lacs","Heartland"
"220",222,"Father Hennepin State Park","Winter",2021,1070,275,1941,"Mille Lacs","Heartland"
"221",223,"Father Hennepin State Park","Winter",2022,245,275,1941,"Mille Lacs","Heartland"
"222",224,"Flandrau State Park","Fall",2018,9382,840,1937,"Brown","Southern"
"223",225,"Flandrau State Park","Fall",2019,6523,840,1937,"Brown","Southern"
"224",226,"Flandrau State Park","Fall",2020,10129,840,1937,"Brown","Southern"
"225",227,"Flandrau State Park","Fall",2021,9714,840,1937,"Brown","Southern"
"226",228,"Flandrau State Park","Spring",2018,9975,840,1937,"Brown","Southern"
"227",229,"Flandrau State Park","Spring",2019,7611,840,1937,"Brown","Southern"
"228",230,"Flandrau State Park","Spring",2020,12525,840,1937,"Brown","Southern"
"229",231,"Flandrau State Park","Spring",2021,11677,840,1937,"Brown","Southern"
"230",232,"Flandrau State Park","Summer",2018,35929,840,1937,"Brown","Southern"
"231",233,"Flandrau State Park","Summer",2019,35652,840,1937,"Brown","Southern"
"232",234,"Flandrau State Park","Summer",2020,16355,840,1937,"Brown","Southern"
"233",235,"Flandrau State Park","Summer",2021,22634,840,1937,"Brown","Southern"
"234",236,"Flandrau State Park","Winter",2018,2173,840,1937,"Brown","Southern"
"235",237,"Flandrau State Park","Winter",2019,3239,840,1937,"Brown","Southern"
"236",238,"Flandrau State Park","Winter",2020,2612,840,1937,"Brown","Southern"
"237",239,"Flandrau State Park","Winter",2021,3112,840,1937,"Brown","Southern"
"238",240,"Flandrau State Park","Winter",2022,296,840,1937,"Brown","Southern"
"239",241,"Forestville Mystery Cave State Park",NA,NA,NA,3163,1963,"Fillmore","Southern"
"240",242,"Fort Ridgely State Park","Fall",2018,2886,537,1911,"Nicollet and Renville","Southern"
"241",243,"Fort Ridgely State Park","Fall",2019,4816,537,1911,"Nicollet and Renville","Southern"
"242",244,"Fort Ridgely State Park","Fall",2020,3645,537,1911,"Nicollet and Renville","Southern"
"243",245,"Fort Ridgely State Park","Fall",2021,4265,537,1911,"Nicollet and Renville","Southern"
"244",246,"Fort Ridgely State Park","Spring",2018,3972,537,1911,"Nicollet and Renville","Southern"
"245",247,"Fort Ridgely State Park","Spring",2019,3423,537,1911,"Nicollet and Renville","Southern"
"246",248,"Fort Ridgely State Park","Spring",2020,4209,537,1911,"Nicollet and Renville","Southern"
"247",249,"Fort Ridgely State Park","Spring",2021,3711,537,1911,"Nicollet and Renville","Southern"
"248",250,"Fort Ridgely State Park","Summer",2018,10619,537,1911,"Nicollet and Renville","Southern"
"249",251,"Fort Ridgely State Park","Summer",2019,6939,537,1911,"Nicollet and Renville","Southern"
"250",252,"Fort Ridgely State Park","Summer",2020,7166,537,1911,"Nicollet and Renville","Southern"
"251",253,"Fort Ridgely State Park","Summer",2021,4624,537,1911,"Nicollet and Renville","Southern"
"252",254,"Fort Ridgely State Park","Winter",2018,3826,537,1911,"Nicollet and Renville","Southern"
"253",255,"Fort Ridgely State Park","Winter",2019,1888,537,1911,"Nicollet and Renville","Southern"
"254",256,"Fort Ridgely State Park","Winter",2020,1912,537,1911,"Nicollet and Renville","Southern"
"255",257,"Fort Ridgely State Park","Winter",2021,1411,537,1911,"Nicollet and Renville","Southern"
"256",258,"Fort Ridgely State Park","Winter",2022,376,537,1911,"Nicollet and Renville","Southern"
"257",259,"Fort Snelling State Park","Fall",2018,29401,1825,1961,"Ramsey, Hennepin, and Dakota","Metro"
"258",260,"Fort Snelling State Park","Fall",2019,19768,1825,1961,"Ramsey, Hennepin, and Dakota","Metro"
"259",261,"Fort Snelling State Park","Fall",2020,46707,1825,1961,"Ramsey, Hennepin, and Dakota","Metro"
"260",262,"Fort Snelling State Park","Fall",2021,35452,1825,1961,"Ramsey, Hennepin, and Dakota","Metro"
"261",263,"Fort Snelling State Park","Spring",2018,36406,1825,1961,"Ramsey, Hennepin, and Dakota","Metro"
"262",264,"Fort Snelling State Park","Spring",2019,11135,1825,1961,"Ramsey, Hennepin, and Dakota","Metro"
"263",265,"Fort Snelling State Park","Spring",2020,51146,1825,1961,"Ramsey, Hennepin, and Dakota","Metro"
"264",266,"Fort Snelling State Park","Spring",2021,41815,1825,1961,"Ramsey, Hennepin, and Dakota","Metro"
"265",267,"Fort Snelling State Park","Summer",2018,44579,1825,1961,"Ramsey, Hennepin, and Dakota","Metro"
"266",268,"Fort Snelling State Park","Summer",2019,12222,1825,1961,"Ramsey, Hennepin, and Dakota","Metro"
"267",269,"Fort Snelling State Park","Summer",2020,76563,1825,1961,"Ramsey, Hennepin, and Dakota","Metro"
"268",270,"Fort Snelling State Park","Summer",2021,53950,1825,1961,"Ramsey, Hennepin, and Dakota","Metro"
"269",271,"Fort Snelling State Park","Winter",2018,24879,1825,1961,"Ramsey, Hennepin, and Dakota","Metro"
"270",272,"Fort Snelling State Park","Winter",2019,21488,1825,1961,"Ramsey, Hennepin, and Dakota","Metro"
"271",273,"Fort Snelling State Park","Winter",2020,16454,1825,1961,"Ramsey, Hennepin, and Dakota","Metro"
"272",274,"Fort Snelling State Park","Winter",2021,26418,1825,1961,"Ramsey, Hennepin, and Dakota","Metro"
"273",275,"Fort Snelling State Park","Winter",2022,3510,1825,1961,"Ramsey, Hennepin, and Dakota","Metro"
"274",276,"Franz Jevne State Park","Fall",2018,1625,118,1967,"Koochiching","Arrowhead"
"275",277,"Franz Jevne State Park","Fall",2019,1423,118,1967,"Koochiching","Arrowhead"
"276",278,"Franz Jevne State Park","Fall",2020,1097,118,1967,"Koochiching","Arrowhead"
"277",279,"Franz Jevne State Park","Fall",2021,1098,118,1967,"Koochiching","Arrowhead"
"278",280,"Franz Jevne State Park","Spring",2018,1435,118,1967,"Koochiching","Arrowhead"
"279",281,"Franz Jevne State Park","Spring",2019,638,118,1967,"Koochiching","Arrowhead"
"280",282,"Franz Jevne State Park","Spring",2020,972,118,1967,"Koochiching","Arrowhead"
"281",283,"Franz Jevne State Park","Spring",2021,1807,118,1967,"Koochiching","Arrowhead"
"282",284,"Franz Jevne State Park","Summer",2018,2975,118,1967,"Koochiching","Arrowhead"
"283",285,"Franz Jevne State Park","Summer",2019,1771,118,1967,"Koochiching","Arrowhead"
"284",286,"Franz Jevne State Park","Summer",2020,1662,118,1967,"Koochiching","Arrowhead"
"285",287,"Franz Jevne State Park","Summer",2021,1861,118,1967,"Koochiching","Arrowhead"
"286",288,"Franz Jevne State Park","Winter",2018,1260,118,1967,"Koochiching","Arrowhead"
"287",289,"Franz Jevne State Park","Winter",2019,1153,118,1967,"Koochiching","Arrowhead"
"288",290,"Franz Jevne State Park","Winter",2020,818,118,1967,"Koochiching","Arrowhead"
"289",291,"Franz Jevne State Park","Winter",2021,748,118,1967,"Koochiching","Arrowhead"
"290",292,"Franz Jevne State Park","Winter",2022,330,118,1967,"Koochiching","Arrowhead"
"291",293,"Frontenac State Park","Fall",2018,15925,2226,1957,"Goodhue","Southern"
"292",294,"Frontenac State Park","Fall",2019,19269,2226,1957,"Goodhue","Southern"
"293",295,"Frontenac State Park","Fall",2020,33334,2226,1957,"Goodhue","Southern"
"294",296,"Frontenac State Park","Fall",2021,14378,2226,1957,"Goodhue","Southern"
"295",297,"Frontenac State Park","Spring",2018,11224,2226,1957,"Goodhue","Southern"
"296",298,"Frontenac State Park","Spring",2019,9696,2226,1957,"Goodhue","Southern"
"297",299,"Frontenac State Park","Spring",2020,26162,2226,1957,"Goodhue","Southern"
"298",300,"Frontenac State Park","Spring",2021,16502,2226,1957,"Goodhue","Southern"
"299",301,"Frontenac State Park","Summer",2018,27592,2226,1957,"Goodhue","Southern"
"300",302,"Frontenac State Park","Summer",2019,29761,2226,1957,"Goodhue","Southern"
"301",303,"Frontenac State Park","Summer",2020,54626,2226,1957,"Goodhue","Southern"
"302",304,"Frontenac State Park","Summer",2021,23511,2226,1957,"Goodhue","Southern"
"303",305,"Frontenac State Park","Winter",2018,3724,2226,1957,"Goodhue","Southern"
"304",306,"Frontenac State Park","Winter",2019,4320,2226,1957,"Goodhue","Southern"
"305",307,"Frontenac State Park","Winter",2020,2744,2226,1957,"Goodhue","Southern"
"306",308,"Frontenac State Park","Winter",2021,8206,2226,1957,"Goodhue","Southern"
"307",309,"Frontenac State Park","Winter",2022,882,2226,1957,"Goodhue","Southern"
