"","Season","name","System","Implementing agency","Unit type","total"
"101","Winter-2021","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",2185
"102","Winter-2022","Blue Mounds State Park","Department of Natural Resources State Park","DNR","State Park",384
"103","Fall-2018","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",5213
"104","Fall-2019","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",5038
"105","Fall-2020","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",9346
"106","Fall-2021","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",8506
"107","Spring-2018","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",8876
"108","Spring-2019","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",4750
"109","Spring-2020","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",8254
"110","Spring-2021","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",7113
"111","Summer-2018","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",32208
"112","Summer-2019","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",14109
"113","Summer-2020","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",13890
"114","Summer-2021","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",12086
"115","Winter-2018","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",1712
"116","Winter-2019","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",1397
"117","Winter-2020","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",687
"118","Winter-2021","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",2615
"119","Winter-2022","Buffalo River State Park","Department of Natural Resources State Park","DNR","State Park",125
"120","Fall-2018","Camden State Park","Department of Natural Resources State Park","DNR","State Park",7889
"121","Fall-2019","Camden State Park","Department of Natural Resources State Park","DNR","State Park",10219
"122","Fall-2020","Camden State Park","Department of Natural Resources State Park","DNR","State Park",10998
"123","Fall-2021","Camden State Park","Department of Natural Resources State Park","DNR","State Park",7502
"124","Spring-2018","Camden State Park","Department of Natural Resources State Park","DNR","State Park",5632
"125","Spring-2019","Camden State Park","Department of Natural Resources State Park","DNR","State Park",5608
"126","Spring-2020","Camden State Park","Department of Natural Resources State Park","DNR","State Park",8691
"127","Spring-2021","Camden State Park","Department of Natural Resources State Park","DNR","State Park",7105
"128","Summer-2018","Camden State Park","Department of Natural Resources State Park","DNR","State Park",21394
"129","Summer-2019","Camden State Park","Department of Natural Resources State Park","DNR","State Park",22588
"130","Summer-2020","Camden State Park","Department of Natural Resources State Park","DNR","State Park",23627
"131","Summer-2021","Camden State Park","Department of Natural Resources State Park","DNR","State Park",17753
"132","Winter-2018","Camden State Park","Department of Natural Resources State Park","DNR","State Park",2981
"133","Winter-2019","Camden State Park","Department of Natural Resources State Park","DNR","State Park",599
"134","Winter-2020","Camden State Park","Department of Natural Resources State Park","DNR","State Park",1172
"135","Winter-2021","Camden State Park","Department of Natural Resources State Park","DNR","State Park",1348
"136","Winter-2022","Camden State Park","Department of Natural Resources State Park","DNR","State Park",156
"137","Fall-2018","Carley State Park","Department of Natural Resources State Park","DNR","State Park",1975
"138","Fall-2019","Carley State Park","Department of Natural Resources State Park","DNR","State Park",2377
"139","Fall-2020","Carley State Park","Department of Natural Resources State Park","DNR","State Park",5182
"140","Fall-2021","Carley State Park","Department of Natural Resources State Park","DNR","State Park",2163
"141","Spring-2018","Carley State Park","Department of Natural Resources State Park","DNR","State Park",2956
"142","Spring-2019","Carley State Park","Department of Natural Resources State Park","DNR","State Park",3479
"143","Spring-2020","Carley State Park","Department of Natural Resources State Park","DNR","State Park",7926
"144","Spring-2021","Carley State Park","Department of Natural Resources State Park","DNR","State Park",5825
"145","Summer-2018","Carley State Park","Department of Natural Resources State Park","DNR","State Park",5098
"146","Summer-2019","Carley State Park","Department of Natural Resources State Park","DNR","State Park",3851
"147","Summer-2020","Carley State Park","Department of Natural Resources State Park","DNR","State Park",5932
"148","Summer-2021","Carley State Park","Department of Natural Resources State Park","DNR","State Park",4503
