"","Season","name","System","Implementing agency","Unit type","total"
"622","Summer-2019","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",60484
"623","Summer-2020","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",60272
"624","Summer-2021","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",60267
"625","Winter-2018","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",2165
"626","Winter-2019","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",2712
"627","Winter-2020","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",4820
"628","Winter-2021","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",3624
"629","Winter-2022","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",642
"630","Fall-2018","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",3925
"631","Fall-2019","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",1646
"632","Fall-2020","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",2140
"633","Fall-2021","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",1534
"634","Spring-2018","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",2675
"635","Spring-2019","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",2866
"636","Spring-2020","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",3236
"637","Spring-2021","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",2098
"638","Summer-2018","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",11277
"639","Summer-2019","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",7855
"640","Summer-2020","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",7087
"641","Summer-2021","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",5201
"642","Winter-2018","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",4243
"643","Winter-2019","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",1119
"644","Winter-2020","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",662
"645","Winter-2021","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",657
"646","Winter-2022","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",223
"647","Fall-2018","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",11377
"648","Fall-2019","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",7412
"649","Fall-2020","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",19716
"650","Fall-2021","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",11765
"651","Spring-2018","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",4967
"652","Spring-2019","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",5765
"653","Spring-2020","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",23403
"654","Spring-2021","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",12235
"655","Summer-2018","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",11178
"656","Summer-2019","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",10763
"657","Summer-2020","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",19488
"658","Summer-2021","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",14508
"659","Winter-2018","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",2029
"660","Winter-2019","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",3516
"661","Winter-2020","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",3404
"662","Winter-2021","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",5085
"663","Winter-2022","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",471
"664","Fall-2018","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",4632
"665","Fall-2019","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",8063
"666","Fall-2020","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",10128
"667","Fall-2021","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",5828
"668","Spring-2018","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",7890
"669","Spring-2019","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",4053
"670","Spring-2020","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",6505
"671","Spring-2021","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",7247
"672","Summer-2018","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",33564
"673","Summer-2019","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",36982
"674","Summer-2020","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",50366
"675","Summer-2021","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",38809
"676","Winter-2018","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",2310
"677","Winter-2019","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",3230
"678","Winter-2020","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",2075
"679","Winter-2021","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",2149
"680","Winter-2022","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",325
"681","Fall-2018","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",41289
"682","Fall-2019","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",19503
"683","Fall-2020","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",21186
"684","Fall-2021","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",14789
"685","Spring-2018","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",11050
"686","Spring-2019","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",15136
"687","Spring-2020","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",5280
"688","Spring-2021","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",12071
"689","Summer-2018","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",105092
"690","Summer-2019","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",77834
"691","Summer-2020","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",68237
"692","Summer-2021","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",57287
"693","Winter-2018","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",4193
"694","Winter-2019","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",9794
"695","Winter-2020","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",1492
"696","Winter-2021","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",5602
"697","Winter-2022","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",471
"698","Fall-2018","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",34602
"699","Fall-2019","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",42446
"700","Fall-2020","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",56525
"701","Fall-2021","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",43189
"702","Spring-2018","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",19532
"703","Spring-2019","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",12544
"704","Spring-2020","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",16518
"705","Spring-2021","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",19809
"706","Summer-2018","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",52541
"707","Summer-2019","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",53638
"708","Summer-2020","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",50240
"709","Summer-2021","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",43601
"710","Winter-2018","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",4851
"711","Winter-2019","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",6230
"712","Winter-2020","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",3508
"713","Winter-2021","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",5900
"714","Winter-2022","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",1212
"715","Fall-2018","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",8131
"716","Fall-2019","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",4374
"717","Fall-2020","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",5686
"718","Fall-2021","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",3479
"719","Spring-2018","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",19669
"720","Spring-2019","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",3432
"721","Spring-2020","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",2323
"722","Spring-2021","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",7788
"723","Summer-2018","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",63148
"724","Summer-2019","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",51562
"725","Summer-2020","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",52894
"726","Summer-2021","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",47935
"727","Winter-2018","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",7885
"728","Winter-2019","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",2058
"729","Winter-2020","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",1663
"730","Winter-2021","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",738
"731","Winter-2022","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",210
"732","Fall-2018","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",20851
"733","Fall-2019","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",21652
"734","Fall-2020","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",23821
"735","Fall-2021","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",18812
"736","Spring-2018","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",12794
"737","Spring-2019","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",17531
"738","Spring-2020","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",15611
"739","Spring-2021","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",19065
"740","Summer-2018","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",48034
"741","Summer-2019","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",32205
"742","Summer-2020","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",33700
"743","Summer-2021","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",29457
"744","Winter-2018","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",10269
"745","Winter-2019","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",13411
"746","Winter-2020","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",15441
"747","Winter-2021","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",28306
"748","Winter-2022","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",2881
"749","Fall-2018","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",21365
"750","Fall-2019","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",24159
"751","Fall-2020","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",39310
"752","Fall-2021","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",28935
"753","Spring-2018","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",16084
"754","Spring-2019","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",22301
"755","Spring-2020","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",38686
"756","Spring-2021","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",35455
"757","Summer-2018","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",60046
"758","Summer-2019","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",60162
"759","Summer-2020","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",97118
"760","Summer-2021","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",58353
"761","Winter-2018","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",2691
"762","Winter-2019","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",5264
"763","Winter-2020","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",5071
"764","Winter-2021","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",12546
"765","Winter-2022","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",1263
"766","Fall-2018","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",2659
"767","Fall-2019","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",1105
"768","Fall-2020","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",982
"769","Fall-2021","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",842
"770","Spring-2018","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",2950
"771","Spring-2019","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",1033
"772","Spring-2020","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",1227
"773","Spring-2021","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",1140
"774","Summer-2018","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",3888
"775","Summer-2019","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",3411
"776","Summer-2020","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",3136
"777","Summer-2021","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",1954
"778","Winter-2018","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",1795
"779","Winter-2019","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",764
"780","Winter-2020","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",636
"781","Winter-2021","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",1055
"782","Winter-2022","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",222
"783","Fall-2018","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",7832
"784","Fall-2019","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",3531
"785","Fall-2020","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",4895
"786","Fall-2021","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",4264
"787","Spring-2018","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",5314
"788","Spring-2019","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",3890
"789","Spring-2020","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",2951
"790","Spring-2021","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",4004
"791","Summer-2018","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",21385
"792","Summer-2019","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",16487
"793","Summer-2020","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",18647
"794","Summer-2021","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",13678
"795","Winter-2018","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",3057
"796","Winter-2019","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",2404
"797","Winter-2020","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",1558
"798","Winter-2021","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",2764
"799","Winter-2022","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",265
"800","Fall-2018","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",12252
"801","Fall-2019","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",7143
"802","Fall-2020","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",9840
"803","Fall-2021","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",8504
"804","Spring-2018","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",13733
"805","Spring-2019","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",7734
"806","Spring-2020","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",8949
"807","Spring-2021","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",10194
"808","Summer-2018","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",23394
"809","Summer-2019","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",20216
"810","Summer-2020","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",17291
"811","Summer-2021","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",19265
"812","Winter-2018","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",3524
"813","Winter-2019","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",2631
"814","Winter-2020","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",2497
"815","Winter-2021","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",3459
"816","Winter-2022","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",596
"817","Fall-2018","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",12991
"818","Fall-2019","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",11649
"819","Fall-2020","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",27983
"820","Fall-2021","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",11839
"821","Spring-2018","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",11600
"822","Spring-2019","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",8461
"823","Spring-2020","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",29832
"824","Spring-2021","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",17499
"825","Summer-2018","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",24908
"826","Summer-2019","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",24023
"827","Summer-2020","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",64869
"828","Summer-2021","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",21112
"829","Winter-2018","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",2019
"830","Winter-2019","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",3123
"831","Winter-2020","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",2665
"832","Winter-2021","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",5456
"833","Winter-2022","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",397
"834","Fall-2018","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",3102
"835","Fall-2019","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",1061
"836","Fall-2020","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",2464
"837","Fall-2021","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",991
"838","Spring-2018","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",1513
"839","Spring-2019","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",925
"840","Spring-2020","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",1331
"841","Spring-2021","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",738
"842","Summer-2018","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",6076
"843","Summer-2019","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",5130
"844","Summer-2020","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",3859
"845","Summer-2021","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",4741
"846","Winter-2018","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",3953
"847","Winter-2019","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",1272
"848","Winter-2020","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",843
"849","Winter-2021","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",1062
"850","Winter-2022","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",122
"851","Fall-2018","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",4584
"852","Fall-2019","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",3048
"853","Fall-2020","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",6118
"854","Fall-2021","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",5837
"855","Spring-2018","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",4127
"856","Spring-2019","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",3509
"857","Spring-2020","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",7007
"858","Spring-2021","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",4897
"859","Summer-2018","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",10789
"860","Summer-2019","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",8253
"861","Summer-2020","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",8050
"862","Summer-2021","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",5801
"863","Winter-2018","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",1975
"864","Winter-2019","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",1551
"865","Winter-2020","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",1224
"866","Winter-2021","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",2730
"867","Winter-2022","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",218
"868","Fall-2018","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",4050
"869","Fall-2019","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",4070
"870","Fall-2020","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",6630
"871","Fall-2021","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",5537
"872","Spring-2018","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",6844
"873","Spring-2019","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",5397
"874","Spring-2020","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",7445
"875","Spring-2021","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",7184
"876","Summer-2018","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",16351
"877","Summer-2019","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",13624
"878","Summer-2020","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",18573
"879","Summer-2021","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",16656
"880","Winter-2018","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",2410
"881","Winter-2019","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",1166
"882","Winter-2020","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",659
"883","Winter-2021","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",2062
"884","Winter-2022","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",161
"885","Fall-2018","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",13494
"886","Fall-2019","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",6346
"887","Fall-2020","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",7020
"888","Fall-2021","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",5919
"889","Spring-2018","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",8140
"890","Spring-2019","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",6443
"891","Spring-2020","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",3251
"892","Spring-2021","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",4886
"893","Summer-2018","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",25394
"894","Summer-2019","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",25751
"895","Summer-2020","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",26114
"896","Summer-2021","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",16116
"897","Winter-2018","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",4201
"898","Winter-2019","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",4180
"899","Winter-2020","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",2183
"900","Winter-2021","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",2244
"901","Winter-2022","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",143
"902","Fall-2018","Scenic State Park","Department of Natural Resources State Park","DNR","State Park",12473
"903","Fall-2019","Scenic State Park","Department of Natural Resources State Park","DNR","State Park",5216
"904","Fall-2020","Scenic State Park","Department of Natural Resources State Park","DNR","State Park",13273
"905","Fall-2021","Scenic State Park","Department of Natural Resources State Park","DNR","State Park",7151
"906","Spring-2018","Scenic State Park","Department of Natural Resources State Park","DNR","State Park",5128
"907","Spring-2019","Scenic State Park","Department of Natural Resources State Park","DNR","State Park",5279
"908","Spring-2020","Scenic State Park","Department of Natural Resources State Park","DNR","State Park",6508
"909","Spring-2021","Scenic State Park","Department of Natural Resources State Park","DNR","State Park",12843
"910","Summer-2018","Scenic State Park","Department of Natural Resources State Park","DNR","State Park",52258
"911","Summer-2019","Scenic State Park","Department of Natural Resources State Park","DNR","State Park",34408
"912","Summer-2020","Scenic State Park","Department of Natural Resources State Park","DNR","State Park",40359
"913","Summer-2021","Scenic State Park","Department of Natural Resources State Park","DNR","State Park",29334
"914","Winter-2018","Scenic State Park","Department of Natural Resources State Park","DNR","State Park",3656
"915","Winter-2019","Scenic State Park","Department of Natural Resources State Park","DNR","State Park",2524
"916","Winter-2020","Scenic State Park","Department of Natural Resources State Park","DNR","State Park",1792
"917","Winter-2021","Scenic State Park","Department of Natural Resources State Park","DNR","State Park",4734
"918","Winter-2022","Scenic State Park","Department of Natural Resources State Park","DNR","State Park",759
"919","Fall-2018","Schoolcraft State Park","Department of Natural Resources State Park","DNR","State Park",1033
"920","Fall-2019","Schoolcraft State Park","Department of Natural Resources State Park","DNR","State Park",708
"921","Fall-2020","Schoolcraft State Park","Department of Natural Resources State Park","DNR","State Park",886
"922","Fall-2021","Schoolcraft State Park","Department of Natural Resources State Park","DNR","State Park",440
"923","Spring-2018","Schoolcraft State Park","Department of Natural Resources State Park","DNR","State Park",1878
"924","Spring-2019","Schoolcraft State Park","Department of Natural Resources State Park","DNR","State Park",679
"925","Spring-2020","Schoolcraft State Park","Department of Natural Resources State Park","DNR","State Park",793
"926","Spring-2021","Schoolcraft State Park","Department of Natural Resources State Park","DNR","State Park",855
"927","Summer-2018","Schoolcraft State Park","Department of Natural Resources State Park","DNR","State Park",3250
"928","Summer-2019","Schoolcraft State Park","Department of Natural Resources State Park","DNR","State Park",2460
