name,County or Counties,Acres,Year,Water Body(s),lat,long,Remarks,Image,url,address,description,type,unpacked,county,num,labels,labels2,region,count,labels3
Fort Ridgely State Park,"Nicollet, Renville",537,1911,Fort Ridgely Creek,44.4524621,-94.73081990000001,"Surrounds Fort Ridgely, site of the Battle of Fort Ridgely during the Dakota War of 1862. The fort and a large district of CCC structures are both on the NRHP.[32][33]",NA,https://stateparks.com/fort_ridgely_state_park_in_minnesota.html,"72158 County Road 30Fairfax, Minnesota   55332","Tour Historic Fort Ridgely and wander through the ruins of this once thriving outpost. Learn about the U. S.-Dakota Conflict of 1862, a major event in Minnesota's early history. Stop by the cemetery to learn more about the history. For recreation, this park offers plenty: play a nine hole course; hike or ride the trails on horseback; play volleyball or softball; fish; and camp (drive-in and walk-in sites are available). Come winter, ski, snowmobile or sled down the big hill.",state park, Renville,Renville,1,Renville County: 1 state park,Fort Ridgely State Park,Southern,43,Southern Region: 43state parks
Fort Snelling State Park,"Ramsey, Hennepin, Dakota",1825,1961,Mississippi and Minnesota Rivers,44.8857988,-93.17799849999999,"Contains historic Fort Snelling, built in 1819, and floodplain forest in the heart of Minneapolis – Saint Paul. The fort is a National Historic Landmark and the entire park is part of the Mississippi National River and Recreation Area.[34]",NA,https://stateparks.com/fort_snelling_state_park_in_minnesota.html,"101 Snelling Lake RoadSt. Paul, Minnesota   55111","Located in the heart of the Twin Cities, this park offers extensive hiking, bike and ski trails that link to Minnehaha Park and the Minnesota Valley National Wildlife Refuge. Canoe on Gun Club Lake, play golf, swim in Snelling Lake, or hike on Pike Island where the Mississippi and Minnesota rivers converge. Interpretive exhibits and films on display in the Thomas C. Savage Visitor Center give visitors a good background on the history and resources of the park and area. Trails also allow visitors to hike up to the historic Fort Snelling for a view of military life in the 1820s. This is a day-use only park; no camping is available.",state park,Ramsey,Ramsey,1,Ramsey County: 1 state park,Fort Snelling State Park,Metro,14,Metro Region: 14state parks
Fort Snelling State Park,"Ramsey, Hennepin, Dakota",1825,1961,Mississippi and Minnesota Rivers,44.8857988,-93.17799849999999,"Contains historic Fort Snelling, built in 1819, and floodplain forest in the heart of Minneapolis – Saint Paul. The fort is a National Historic Landmark and the entire park is part of the Mississippi National River and Recreation Area.[34]",NA,https://stateparks.com/fort_snelling_state_park_in_minnesota.html,"101 Snelling Lake RoadSt. Paul, Minnesota   55111","Located in the heart of the Twin Cities, this park offers extensive hiking, bike and ski trails that link to Minnehaha Park and the Minnesota Valley National Wildlife Refuge. Canoe on Gun Club Lake, play golf, swim in Snelling Lake, or hike on Pike Island where the Mississippi and Minnesota rivers converge. Interpretive exhibits and films on display in the Thomas C. Savage Visitor Center give visitors a good background on the history and resources of the park and area. Trails also allow visitors to hike up to the historic Fort Snelling for a view of military life in the 1820s. This is a day-use only park; no camping is available.",state park, Hennepin,Hennepin,2,Hennepin County: 2 state parks,Fort Snelling State Park,Metro,14,Metro Region: 14state parks
Fort Snelling State Park,"Ramsey, Hennepin, Dakota",1825,1961,Mississippi and Minnesota Rivers,44.8857988,-93.17799849999999,"Contains historic Fort Snelling, built in 1819, and floodplain forest in the heart of Minneapolis – Saint Paul. The fort is a National Historic Landmark and the entire park is part of the Mississippi National River and Recreation Area.[34]",NA,https://stateparks.com/fort_snelling_state_park_in_minnesota.html,"101 Snelling Lake RoadSt. Paul, Minnesota   55111","Located in the heart of the Twin Cities, this park offers extensive hiking, bike and ski trails that link to Minnehaha Park and the Minnesota Valley National Wildlife Refuge. Canoe on Gun Club Lake, play golf, swim in Snelling Lake, or hike on Pike Island where the Mississippi and Minnesota rivers converge. Interpretive exhibits and films on display in the Thomas C. Savage Visitor Center give visitors a good background on the history and resources of the park and area. Trails also allow visitors to hike up to the historic Fort Snelling for a view of military life in the 1820s. This is a day-use only park; no camping is available.",state park, Dakota,Dakota,2,Dakota County: 2 state parks,Fort Snelling State Park,Metro,14,Metro Region: 14state parks
Franz Jevne State Park,Koochiching,118,1967,Rainy River,48.64224,-94.08041,"Features scenic property on the Canada–United States border, donated by the sons of Franz Jevne, a lawyer, on the condition that the park be named after their father.[35]",NA,NA,NA,"Secluded and peaceful, this park offers picturesque views of Ontario and the Rainy River. Short paths and a boat launch offer access to the river for fishing, where anglers can catch walleye, northern, small mouth bass and sturgeon. Pitch a tent in the rustic campsites, equipped with pit toilets, and a hand pump for water. A picnic area overlooks Sault Rapids.",state park,Koochiching,Koochiching,1,Koochiching County: 1 state park,Franz Jevne State Park,Arrowhead,23,Arrowhead Region: 23state parks
Frontenac State Park,Goodhue,2226,1957,Lake Pepin on Mississippi River,44.5074677,-92.3262914,Attracts 260 species of year-round and migrant birds with its variety of habitats. Includes a natural arch atop a 430-foot (130 m) bluff.[36],NA,https://stateparks.com/frontenac_state_park_in_minnesota.html,"29223 County 28 BoulevardFrontenac, Minnesota   55026","Located on the Mississippi River, Frontenac is a birdwatcher's paradise. It's one of the best spots in the country to view birds migrating in the spring and fall. More than 260 species of birds have been recorded here. No wonder: Lake Pepin's diverse habitats -- bluffland, prairie, floodplain forest and upland hardwood forest -- attract numerous warblers, hawks, waterfowl and shorebirds. Hikers and skiers enjoy spectacular views of this beautifully wooded river valley. Fishing, swimming and boat tours are all available nearby.",state park,Goodhue,Goodhue,1,Goodhue County: 1 state park,Frontenac State Park,Southern,43,Southern Region: 43state parks
Garden Island State Recreation Area,Lake of the Woods,715,1998,Lake of the Woods,49.175335,-94.834671,"Comprises a nearly undeveloped island, 15 mi (24 km) from the closest mainland marinas, that once bore Native American gardens.[37]",NA,NA,NA,NA,NA,Lake of the Woods,Lake of the Woods,2,Lake of the Woods County: 2 state parks,Garden Island State Recreation Area,Heartland,37,Heartland Region: 37state parks
George H Crosby Manitou State Park,Lake,6200,1955,Manitou River,47.506018,-91.109045,Contains undeveloped North Woods wilderness geared towards backpackers.[38],NA,https://stateparks.com/george_h_crosby_manitou_state_park_in_minnesota.html,"5702 Highway 61Silver Bay, Minnesota   55614","Come to this north-country wilderness park where waterfalls cascade through a volcanic canyon surrounded by majestic forest. The trails in the park are carved through a forest of fir, cedar, spruce, and northern hardwoods. Although the trails are steep and challenging for hikers and backpackers, they offer spectacular views. Secluded campsites are for backpackers only. Trout (brown, rainbow, and brook) and splake (a hybrid of brook and lake trout) reside in Benson Lake. Watch for moose, deer, bear, and wolves.",state park,Lake,Lake,4,Lake County: 4 state parks,George H Crosby Manitou State Park,Arrowhead,23,Arrowhead Region: 23state parks
Glacial Lakes State Park,Pope,1857,1963,Several kettle lakes,45.537461,-95.521983,Preserves rolling tallgrass prairie amidst the glacial landforms of the Leaf Hills Moraines.[39],NA,https://stateparks.com/glacial_lakes_state_park_in_minnesota.html,"25022 County Road 41Starbuck, Minnesota   56381","Stand on top of the scenic glacial hills and experience the vast, open prairie which once dominated Minnesota. Wildflowers and prairie grasses blanket the landscape from spring through fall. Swim, fish or boat (electric motors only) in the fresh, clear waters of 56-acre Mountain Lake. A shady, spacious campground is available; horseback riders and backpack campers can camp at the trail center and at remote sites. Canoe rental available. A picnic area deck overlooks Mountain Lake.",state park,Pope,Pope,1,Pope County: 1 state park,Glacial Lakes State Park,Heartland,37,Heartland Region: 37state parks
Glendalough State Park,Otter Tail,1924,1991,Six kettle lakes,46.3333333,-95.66666670000001,"Developed from the former private retreat and game farm of the owners of the Star Tribune newspaper, with a heritage fishery of large game fish.[40]",NA,NA,NA,"Nestled in the transition zone between prairie and hardwood forest, Glendalough offers a true respite from civilization. Crystal clear Annie Battle Lake is a 335-acre, non-motorized ""Heritage Fishery"" that provides a tranquil fishing experience second to none. Special regulations sustain a steady supply of large sunfish, crappie, and the occasional walleye for the frying pan, and large bass for the camera. Near the pristine shores of this lake are a cart-in campground and canoe-in campsites, all free from the traffic and noise of traditional drive-in camping. Annie can also be the starting point for an exploration of the park by canoe or kayak on the connecting creeks. The restored historic Glendalough lodge on the north side of the lake details the park's history as a private retreat and game farm for the Minneapolis Tribune. A paved bike trail loop and numerous hiking trails, including two interpretive trails, meander along five lakes, through rich woods and blooming prairies. Wildlife abounds year-round, and there are many observation decks along the trails. Trails are groomed in winter for skiing and snowshoeing. Picnicking and swimming is available on two sandy lakes.",state park,Otter Tail,Otter Tail,2,Otter Tail County: 2 state parks,Glendalough State Park,Heartland,37,Heartland Region: 37state parks
Gooseberry Falls State Park,Lake,1741,1937,"Lake Superior, Gooseberry River",47.1468715,-91.46322890000002,"Serves as the gateway to the scenic North Shore. Features five waterfalls, an agate beach, and a large district of CCC structures on the NRHP.[41][42]",NA,https://stateparks.com/gooseberry_falls_state_park_in_minnesota.html,"3206 Highway 61 EastTwo Harbors, Minnesota   55616","Gooseberry Falls is the gateway to the North Shore. It is known for its spectacular waterfalls, river gorge, Lake Superior shoreline, Civilian Conservation Corps log and stone structures, and north woods wildlife.Listen to the thunderous roar of the Upper, Middle and Lower Falls of the Gooseberry River, as it plummets through a rocky gorge. Watch for waves, ships, or the moon rise on Lake Superior from an ancient lava flow known as the Picnic Flow.Hike or ski to see the Fifth Falls through a forest of evergreens, aspen, and birch.Enjoy camping in modern campsites, picnicking, and relaxing along the Lake Superior shoreline or the Gooseberry River.To get the most out of your visit, stop by the Joseph N. Alexander Visitor Center where you can find park information, interpretive displays, a park video, Nature Store, and more. Or visit the Gateway Plaza for outdoor interpretive signs on area resources and history.",state park,Lake,Lake,4,Lake County: 4 state parks,Gooseberry Falls State Park,Arrowhead,23,Arrowhead Region: 23state parks
Grand Portage State Park,Cook,278,1989,Pigeon River,48.0101633,-89.61203169999999,"Features a 120-foot (37 m) waterfall, Minnesota's tallest, on the Canada–United States border. Co-managed with the Grand Portage Indian Reservation, the only state – tribal collaboration of a U.S. state park.[43]",NA,NA,NA,NA,NA,Cook,Cook,4,Cook County: 4 state parks,Grand Portage State Park,Arrowhead,23,Arrowhead Region: 23state parks
Great River Bluffs State Park,Winona,2122,1963,Mississippi River,43.9463526,-91.3993094,Features 500-foot-high (150 m) bluffs and steep goat prairies. Formerly named O.L. Kipp State Park.[45],NA,https://stateparks.com/o_l_kipp_state_park_in_minnesota.html,NA,"This is beautiful bluff country! The park contains two Scientific and Natural Areas (SNAs), King's and Queen's Bluff. The King's Bluff trail offers a breathtaking view of the Mississippi River Valley. Bring your binoculars; the river valley is a major flyway for waterfowl, eagles, and hawks. Explore the diversity in this park: oak-hickory and maple-basswood forests, pine plantations, fields, and goat prairies offer visitors excellent hiking and a diversity of wildlife. Look for ruffed grouse, wild turkeys, coyotes, and many species of songbirds.",state park,Winona,Winona,3,Winona County: 3 state parks,Great River Bluffs State Park,Southern,43,Southern Region: 43state parks
Greenleaf Lake State Recreation Area,Meeker,1230,2004,Greenleaf and Sioux Lakes,45.01591,-94.46671,In development and open for limited day-use recreation.[46],NA,NA,NA,NA,NA,Meeker,Meeker,1,Meeker County: 1 state park,Greenleaf Lake State Recreation Area,Southern,43,Southern Region: 43state parks
Hayes Lake State Park,Roseau,2118,1967,"Hayes Lake, North Fork Roseau River",48.623309,-95.50775300000001,Provides fishing and swimming opportunities in an exclusively recreational reservoir free of agricultural runoff or water level fluctuations for irrigation or power generation.[4]: 250,NA,https://stateparks.com/hayes_lake_state_park_in_minnesota.html,"48990 County Road 4Roseau, Minnesota   56751","Some days it's just you, loons, and moose, while you traverse around Hayes Lake. Fed by the north fork of the Roseau River, the lake supports crappie, sunfish, and northerns. Birdwatchers have spotted over 200 species in or near the park. The summer is perfect to look for orchids, gentians, and blueberries (you can pick the berries, but not the flowers). Visitors also enjoy swimming and canoeing in the lake, along with camping. Trails for hiking, skiing, snowmobiling, and horseback riding connect with the Beltrami Island State Forest.",state park,Roseau,Roseau,1,Roseau County: 1 state park,Hayes Lake State Park,Heartland,37,Heartland Region: 37state parks
