"","name","System","Implementing agency","Unit type","total","visit_year","Season"
"223","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",6523,"2019","Fall"
"224","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",10129,"2020","Fall"
"225","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",9714,"2021","Fall"
"226","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",9975,"2018","Spring"
"227","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",7611,"2019","Spring"
"228","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",12525,"2020","Spring"
"229","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",11677,"2021","Spring"
"230","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",35929,"2018","Summer"
"231","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",35652,"2019","Summer"
"232","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",16355,"2020","Summer"
"233","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",22634,"2021","Summer"
"234","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",2173,"2018","Winter"
"235","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",3239,"2019","Winter"
"236","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",2612,"2020","Winter"
"237","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",3112,"2021","Winter"
"238","Flandrau State Park","Department of Natural Resources State Park","DNR","State Park",296,"2022","Winter"
"239","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",9398,"2018","Fall"
"240","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",6410,"2019","Fall"
"241","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",7422,"2020","Fall"
"242","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",2960,"2021","Fall"
"243","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",4500,"2018","Spring"
"244","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",5119,"2019","Spring"
"245","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",3839,"2020","Spring"
"246","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",3116,"2021","Spring"
"247","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",26776,"2018","Summer"
"248","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",17903,"2019","Summer"
"249","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",11383,"2020","Summer"
"250","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",7640,"2021","Summer"
"251","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",5838,"2018","Winter"
"252","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",2205,"2019","Winter"
"253","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",1787,"2020","Winter"
"254","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",872,"2021","Winter"
"255","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",288,"2022","Winter"
"256","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",2886,"2018","Fall"
"257","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",4816,"2019","Fall"
"258","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",3645,"2020","Fall"
"259","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",4265,"2021","Fall"
"260","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",3972,"2018","Spring"
"261","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",3423,"2019","Spring"
"262","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",4209,"2020","Spring"
"263","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",3711,"2021","Spring"
"264","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",10619,"2018","Summer"
"265","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",6939,"2019","Summer"
"266","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",7166,"2020","Summer"
"267","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",4624,"2021","Summer"
"268","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",3826,"2018","Winter"
"269","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",1888,"2019","Winter"
"270","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",1912,"2020","Winter"
"271","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",1411,"2021","Winter"
"272","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",376,"2022","Winter"
"273","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",29401,"2018","Fall"
"274","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",19768,"2019","Fall"
"275","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",46707,"2020","Fall"
"276","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",35452,"2021","Fall"
"277","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",36406,"2018","Spring"
"278","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",11135,"2019","Spring"
"279","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",51146,"2020","Spring"
"280","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",41815,"2021","Spring"
"281","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",44579,"2018","Summer"
"282","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",12222,"2019","Summer"
"283","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",76563,"2020","Summer"
"284","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",53950,"2021","Summer"
"285","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",24879,"2018","Winter"
"286","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",21488,"2019","Winter"
