"","name","System","Implementing agency","Unit type","total","visit_year","Season"
"596","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",5120,"2018","Fall"
"597","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",4112,"2019","Fall"
"598","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",3965,"2020","Fall"
"599","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",3133,"2021","Fall"
"600","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",12670,"2018","Spring"
"601","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",6725,"2019","Spring"
"602","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",3579,"2020","Spring"
"603","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",7282,"2021","Spring"
"604","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",31581,"2018","Summer"
"605","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",42162,"2019","Summer"
"606","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",42909,"2020","Summer"
"607","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",50656,"2021","Summer"
"608","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",4993,"2018","Winter"
"609","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",8087,"2019","Winter"
"610","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",3139,"2020","Winter"
"611","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",3778,"2021","Winter"
"612","Lake Bronson State Park","Department of Natural Resources State Park","DNR","State Park",444,"2022","Winter"
"613","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",13500,"2018","Fall"
"614","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",12067,"2019","Fall"
"615","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",15652,"2020","Fall"
"616","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",12616,"2021","Fall"
"617","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",10322,"2018","Spring"
"618","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",9219,"2019","Spring"
"619","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",6985,"2020","Spring"
"620","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",13220,"2021","Spring"
"621","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",55923,"2018","Summer"
"622","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",60484,"2019","Summer"
"623","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",60272,"2020","Summer"
"624","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",60267,"2021","Summer"
"625","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",2165,"2018","Winter"
"626","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",2712,"2019","Winter"
"627","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",4820,"2020","Winter"
"628","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",3624,"2021","Winter"
"629","Lake Carlos State Park","Department of Natural Resources State Park","DNR","State Park",642,"2022","Winter"
"630","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",3925,"2018","Fall"
"631","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",1646,"2019","Fall"
"632","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",2140,"2020","Fall"
"633","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",1534,"2021","Fall"
"634","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",2675,"2018","Spring"
"635","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",2866,"2019","Spring"
"636","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",3236,"2020","Spring"
"637","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",2098,"2021","Spring"
"638","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",11277,"2018","Summer"
"639","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",7855,"2019","Summer"
"640","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",7087,"2020","Summer"
"641","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",5201,"2021","Summer"
"642","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",4243,"2018","Winter"
"643","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",1119,"2019","Winter"
"644","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",662,"2020","Winter"
"645","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",657,"2021","Winter"
"646","Lake Louise State Park","Department of Natural Resources State Park","DNR","State Park",223,"2022","Winter"
"647","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",11377,"2018","Fall"
"648","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",7412,"2019","Fall"
"649","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",19716,"2020","Fall"
"650","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",11765,"2021","Fall"
"651","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",4967,"2018","Spring"
"652","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",5765,"2019","Spring"
"653","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",23403,"2020","Spring"
"654","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",12235,"2021","Spring"
"655","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",11178,"2018","Summer"
"656","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",10763,"2019","Summer"
"657","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",19488,"2020","Summer"
"658","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",14508,"2021","Summer"
"659","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",2029,"2018","Winter"
"660","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",3516,"2019","Winter"
"661","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",3404,"2020","Winter"
"662","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",5085,"2021","Winter"
"663","Lake Maria State Park","Department of Natural Resources State Park","DNR","State Park",471,"2022","Winter"
"664","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",4632,"2018","Fall"
"665","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",8063,"2019","Fall"
"666","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",10128,"2020","Fall"
"667","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",5828,"2021","Fall"
"668","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",7890,"2018","Spring"
"669","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",4053,"2019","Spring"
"670","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",6505,"2020","Spring"
"671","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",7247,"2021","Spring"
"672","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",33564,"2018","Summer"
"673","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",36982,"2019","Summer"
"674","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",50366,"2020","Summer"
"675","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",38809,"2021","Summer"
"676","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",2310,"2018","Winter"
"677","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",3230,"2019","Winter"
"678","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",2075,"2020","Winter"
"679","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",2149,"2021","Winter"
"680","Lake Shetek State Park","Department of Natural Resources State Park","DNR","State Park",325,"2022","Winter"
"681","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",41289,"2018","Fall"
"682","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",19503,"2019","Fall"
"683","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",21186,"2020","Fall"
"684","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",14789,"2021","Fall"
"685","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",11050,"2018","Spring"
"686","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",15136,"2019","Spring"
"687","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",5280,"2020","Spring"
"688","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",12071,"2021","Spring"
"689","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",105092,"2018","Summer"
"690","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",77834,"2019","Summer"
"691","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",68237,"2020","Summer"
"692","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",57287,"2021","Summer"
"693","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",4193,"2018","Winter"
"694","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",9794,"2019","Winter"
"695","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",1492,"2020","Winter"
"696","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",5602,"2021","Winter"
"697","Lake Vermilion-Soudan Underground Mine State Park","Department of Natural Resources State Park","DNR","State Park",471,"2022","Winter"
"698","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",34602,"2018","Fall"
"699","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",42446,"2019","Fall"
"700","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",56525,"2020","Fall"
"701","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",43189,"2021","Fall"
"702","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",19532,"2018","Spring"
"703","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",12544,"2019","Spring"
"704","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",16518,"2020","Spring"
"705","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",19809,"2021","Spring"
"706","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",52541,"2018","Summer"
"707","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",53638,"2019","Summer"
"708","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",50240,"2020","Summer"
"709","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",43601,"2021","Summer"
"710","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",4851,"2018","Winter"
"711","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",6230,"2019","Winter"
"712","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",3508,"2020","Winter"
"713","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",5900,"2021","Winter"
"714","Maplewood State Park","Department of Natural Resources State Park","DNR","State Park",1212,"2022","Winter"
"715","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",8131,"2018","Fall"
"716","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",4374,"2019","Fall"
"717","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",5686,"2020","Fall"
"718","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",3479,"2021","Fall"
"719","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",19669,"2018","Spring"
"720","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",3432,"2019","Spring"
"721","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",2323,"2020","Spring"
"722","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",7788,"2021","Spring"
"723","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",63148,"2018","Summer"
"724","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",51562,"2019","Summer"
"725","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",52894,"2020","Summer"
"726","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",47935,"2021","Summer"
"727","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",7885,"2018","Winter"
"728","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",2058,"2019","Winter"
"729","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",1663,"2020","Winter"
"730","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",738,"2021","Winter"
"731","McCarthy Beach State Park","Department of Natural Resources State Park","DNR","State Park",210,"2022","Winter"
"732","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",20851,"2018","Fall"
"733","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",21652,"2019","Fall"
"734","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",23821,"2020","Fall"
"735","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",18812,"2021","Fall"
"736","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",12794,"2018","Spring"
"737","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",17531,"2019","Spring"
"738","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",15611,"2020","Spring"
"739","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",19065,"2021","Spring"
"740","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",48034,"2018","Summer"
"741","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",32205,"2019","Summer"
"742","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",33700,"2020","Summer"
"743","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",29457,"2021","Summer"
"744","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",10269,"2018","Winter"
"745","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",13411,"2019","Winter"
"746","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",15441,"2020","Winter"
"747","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",28306,"2021","Winter"
"748","Mille Lacs Kathio State Park","Department of Natural Resources State Park","DNR","State Park",2881,"2022","Winter"
"749","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",21365,"2018","Fall"
"750","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",24159,"2019","Fall"
"751","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",39310,"2020","Fall"
"752","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",28935,"2021","Fall"
"753","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",16084,"2018","Spring"
"754","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",22301,"2019","Spring"
"755","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",38686,"2020","Spring"
"756","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",35455,"2021","Spring"
"757","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",60046,"2018","Summer"
"758","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",60162,"2019","Summer"
"759","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",97118,"2020","Summer"
"760","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",58353,"2021","Summer"
"761","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",2691,"2018","Winter"
"762","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",5264,"2019","Winter"
"763","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",5071,"2020","Winter"
"764","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",12546,"2021","Winter"
"765","Minneopa State Park","Department of Natural Resources State Park","DNR","State Park",1263,"2022","Winter"
"766","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",2659,"2018","Fall"
"767","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",1105,"2019","Fall"
"768","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",982,"2020","Fall"
"769","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",842,"2021","Fall"
"770","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",2950,"2018","Spring"
"771","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",1033,"2019","Spring"
"772","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",1227,"2020","Spring"
"773","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",1140,"2021","Spring"
"774","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",3888,"2018","Summer"
"775","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",3411,"2019","Summer"
"776","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",3136,"2020","Summer"
"777","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",1954,"2021","Summer"
"778","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",1795,"2018","Winter"
"779","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",764,"2019","Winter"
"780","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",636,"2020","Winter"
"781","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",1055,"2021","Winter"
"782","Monson Lake State Park","Department of Natural Resources State Park","DNR","State Park",222,"2022","Winter"
"783","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",7832,"2018","Fall"
"784","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",3531,"2019","Fall"
"785","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",4895,"2020","Fall"
"786","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",4264,"2021","Fall"
"787","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",5314,"2018","Spring"
"788","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",3890,"2019","Spring"
"789","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",2951,"2020","Spring"
"790","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",4004,"2021","Spring"
"791","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",21385,"2018","Summer"
"792","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",16487,"2019","Summer"
"793","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",18647,"2020","Summer"
"794","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",13678,"2021","Summer"
"795","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",3057,"2018","Winter"
"796","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",2404,"2019","Winter"
"797","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",1558,"2020","Winter"
"798","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",2764,"2021","Winter"
"799","Moose Lake State Park","Department of Natural Resources State Park","DNR","State Park",265,"2022","Winter"
"800","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",12252,"2018","Fall"
"801","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",7143,"2019","Fall"
"802","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",9840,"2020","Fall"
"803","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",8504,"2021","Fall"
"804","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",13733,"2018","Spring"
"805","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",7734,"2019","Spring"
"806","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",8949,"2020","Spring"
"807","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",10194,"2021","Spring"
"808","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",23394,"2018","Summer"
"809","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",20216,"2019","Summer"
"810","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",17291,"2020","Summer"
"811","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",19265,"2021","Summer"
"812","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",3524,"2018","Winter"
"813","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",2631,"2019","Winter"
"814","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",2497,"2020","Winter"
"815","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",3459,"2021","Winter"
"816","Myre-Big Island State Park","Department of Natural Resources State Park","DNR","State Park",596,"2022","Winter"
"817","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",12991,"2018","Fall"
"818","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",11649,"2019","Fall"
"819","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",27983,"2020","Fall"
"820","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",11839,"2021","Fall"
"821","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",11600,"2018","Spring"
"822","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",8461,"2019","Spring"
"823","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",29832,"2020","Spring"
"824","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",17499,"2021","Spring"
"825","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",24908,"2018","Summer"
"826","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",24023,"2019","Summer"
"827","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",64869,"2020","Summer"
"828","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",21112,"2021","Summer"
"829","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",2019,"2018","Winter"
"830","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",3123,"2019","Winter"
"831","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",2665,"2020","Winter"
"832","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",5456,"2021","Winter"
"833","Nerstrand Big Woods State Park","Department of Natural Resources State Park","DNR","State Park",397,"2022","Winter"
"834","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",3102,"2018","Fall"
"835","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",1061,"2019","Fall"
"836","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",2464,"2020","Fall"
"837","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",991,"2021","Fall"
"838","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",1513,"2018","Spring"
"839","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",925,"2019","Spring"
"840","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",1331,"2020","Spring"
"841","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",738,"2021","Spring"
"842","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",6076,"2018","Summer"
"843","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",5130,"2019","Summer"
"844","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",3859,"2020","Summer"
"845","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",4741,"2021","Summer"
"846","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",3953,"2018","Winter"
"847","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",1272,"2019","Winter"
"848","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",843,"2020","Winter"
"849","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",1062,"2021","Winter"
"850","Old Mill State Park","Department of Natural Resources State Park","DNR","State Park",122,"2022","Winter"
"851","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",4584,"2018","Fall"
"852","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",3048,"2019","Fall"
"853","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",6118,"2020","Fall"
"854","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",5837,"2021","Fall"
"855","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",4127,"2018","Spring"
"856","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",3509,"2019","Spring"
"857","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",7007,"2020","Spring"
"858","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",4897,"2021","Spring"
"859","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",10789,"2018","Summer"
"860","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",8253,"2019","Summer"
"861","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",8050,"2020","Summer"
"862","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",5801,"2021","Summer"
"863","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",1975,"2018","Winter"
"864","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",1551,"2019","Winter"
"865","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",1224,"2020","Winter"
"866","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",2730,"2021","Winter"
"867","Rice Lake State Park","Department of Natural Resources State Park","DNR","State Park",218,"2022","Winter"
"868","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",4050,"2018","Fall"
"869","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",4070,"2019","Fall"
"870","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",6630,"2020","Fall"
"871","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",5537,"2021","Fall"
"872","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",6844,"2018","Spring"
"873","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",5397,"2019","Spring"
"874","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",7445,"2020","Spring"
"875","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",7184,"2021","Spring"
"876","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",16351,"2018","Summer"
"877","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",13624,"2019","Summer"
"878","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",18573,"2020","Summer"
"879","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",16656,"2021","Summer"
"880","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",2410,"2018","Winter"
"881","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",1166,"2019","Winter"
"882","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",659,"2020","Winter"
"883","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",2062,"2021","Winter"
"884","Sakatah Lake State Park","Department of Natural Resources State Park","DNR","State Park",161,"2022","Winter"
"885","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",13494,"2018","Fall"
"886","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",6346,"2019","Fall"
"887","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",7020,"2020","Fall"
"888","Savanna Portage State Park","Department of Natural Resources State Park","DNR","State Park",5919,"2021","Fall"
