"park_name","Winter*Year interaction","Was Winter 2020 involved?","Spring*Year interaction","Was Spring 2020 involved?","Summer*Year interaction","Was Summer 2020 involved?","Fall*Year interaction","Was Fall 2020 involved?"
"Gale Woods Farm","None","No","**","Yes","None","No","None","No"
"George H Crosby-Manitou","None","No","***","Yes","***","Yes","**","Yes"
"Hill Annex Mine","None","No","***","Yes","***","Yes","***","Yes"
"Hole in the Mountain Park","None","No","None","No","**","Yes","None","No"
"McCarthy Beach","None","No","None","No","None","No","*","No"
"Minneopa","None","No","***","Yes","***","Yes","None","No"
"Moose Lake","None","No","None","No","*","No","None","No"
"Root River Park","None","No","***","Yes","***","Yes","**","Yes"
"Sand Hill Recreation Area","None","No","*","No","***","No","None","No"
"Sandstone Robinson Park","None","No","None","No","***","Yes","***","Yes"
"Split Rock Creek","None","No","None","No","None","No","None","No"
"Springvale Park","None","No","***","Yes","***","Yes","None","No"
"St Croix Bluffs","None","No","**","Yes","***","Yes","None","No"
"Camden","None","No","None","No","None","No","None","No"
"Cedar Lake Farm","None","No","***","Yes","*","Yes","None","No"
"Charles A Lindbergh","None","No","*","Yes","*","No","None","No"
"Hayes Lake","None","No","None","No","**","Yes","None","No"
"Lake Louise","None","No","None","No","*","No","***","Yes"
"Lake Shetek","None","No","None","No","*","Yes","None","No"
"Whitewater","None","No","None","No","***","Yes","*","No"
"Appleton OHV Park","None","No","***","Yes","None","No","None","No"
"Devils Track Falls","None","No","***","Yes","*","Yes","**","No"
"Lake Brophy County Park","None","No","***","Yes","***","Yes","**","Yes"
"Noerenberg Gardens","None","No","None","No","***","Yes","None","No"
"Fort Ridgely","None","No","None","No","**","Yes","None","No"
"John A Latsch","None","No","***","Yes","**","Yes","None","No"
"Judge C R Magney","None","No","None","No","***","Yes","None","No"
"Bear Head Lake","None","No","None","No","*","Yes","None","No"
"Carley","None","No","**","Yes","None","No","***","Yes"
"Forestville/Mystery Cave","None","No","None","No","***","Yes","*","No"
"Irving & John Anderson County Park","None","No","***","Yes","***","Yes","*","Yes"
"Kodonce River","None","No","***","Yes","None","No","**","Yes"
"Kraemer Lake Park","None","No","***","Yes","*","No","***","Yes"
"Savanna Portage","None","No","None","No","None","No","*","No"
"Greenleaf Lake","None","No","*","Yes","*","No","None","No"
"Kingswood","None","No","***","Yes","None","No","*","Yes"
"Monson Lake","None","No","None","No","None","No","**","Yes"
"Northland Sports Park","None","No","None","No","None","No","**","Yes"
"Upper Sioux Agency","None","No","***","Yes","***","Yes","*","No"
"Caribou Falls","None","No","*","Yes","None","No","None","No"
"Belle Prairie Park","None","No","***","Yes","*","Yes","***","Yes"
"Glacial Lakes","None","No","None","No","*","Yes","None","No"
"Grand Portage","None","No","*","Yes","***","Yes","None","No"
"Garvin Park","None","No","None","No","None","No","None","Yes"
"Glendalough","None","No","*","Yes","None","No","None","No"
"Northerly Park","None","No","***","Yes","***","Yes","***","Yes"
"Rockville County Park","None","No","**","Yes","***","Yes","None","No"
"Franz Jevne","None","No","*","No","None","No","None","No"
"La Salle Lake","None","No","None","No","None","No","***","Yes"
"Schoolcraft","None","No","***","Yes","None","No","**","Yes"
"Lac qui Parle County Park","None","No","**","Yes","None","No","None","No"
"Milford Mine Memorial Park","None","No","None","No","*","No","None","No"
"Joseph R Brown","None","No","***","Yes","***","Yes","***","Yes"
"Minneapolis Chain of Lakes (exclusive boundary)","None","No","None","No","*","Yes","None","No"
"Minnehaha (exclusive boundary)","None","No","*","No","***","Yes","*","Yes"
"Nokomis Hiawatha (exclusive boundary)","None","No","None","No","None","No","None","No"
