"Park name","Park system","Implementing agency","Unit type","Core park"
"Lake Byllesby Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Lake Washington Park & Campground","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"MB Johnson Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Milford Mine Memorial Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Mississippi River Park (GRPC)","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Northland Sports Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Oxbow Park/Zollman Zoo","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Plum Creek Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Quarry Hill Park & Nature Center","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Quarry Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Robbins Island Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Robert Ney Memorial Park Reserve","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Rochester Gamehaven Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Rockville County Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Sandstone Robinson Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Spirit Mountain Recreation Area","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Stanley Eddy Park Reserve","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Twin Lakes Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Warner Lake Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE
"Anoka Co Riverfront","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE
"Anoka Co Riverfront/Islands of Peace","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE
"Baker","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Bald Eagle-Otter Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE
"Battle Creek","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE
"Baylor","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE
"Big Marine","Metropolitan Regional Park System","Washington County Parks","Regional Park",TRUE
"Bryant Lake","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Bunker Hills","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE
"Carver","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Cedar Lake Farm","Metropolitan Regional Park System","Scott County Parks","Regional Park",TRUE
"Central Mississippi Riverfront","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE
"Cleary Lake","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Clifton E French","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Como","Metropolitan Regional Park System","St. Paul Parks and Recreation","Regional Park",TRUE
"Como (Como Zoo)","Metropolitan Regional Park System","St. Paul Parks and Recreation","Regional Park",TRUE
"Como (Marjorie McNeely Conservatory)","Metropolitan Regional Park System","St. Paul Parks and Recreation","Regional Park",TRUE
"Como Zoo and Conservatory","Metropolitan Regional Park System","St Paul Parks and Recreation","Regional Park",TRUE
"Coon Rapids Dam","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE
"Cottage Grove Ravine","Metropolitan Regional Park System","Washington County Parks","Regional Park",TRUE
"Crow-Hassan","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Eagle Lake","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Elm Creek","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Fish Lake","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Gale Woods Farm","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Hidden Falls-Crosby Farm","Metropolitan Regional Park System","St. Paul Parks and Recreation","Regional Park",TRUE
"Hyland-Bush-Anderson Lakes (Bloomington Parks and Recreation)","Metropolitan Regional Park System","Bloomington Parks and Recreation","Regional Park",TRUE
"Hyland-Bush-Anderson Lakes (Three Rivers Park District)","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Indian Mounds","Metropolitan Regional Park System","St. Paul Parks and Recreation","Regional Park",TRUE
"Islands of Peace","Metropolitan Regional Park System","Anoka County Parks and Reacreation","Regional Park",TRUE
"Keller","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE
"Kingswood","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Lake Byllesby","Metropolitan Regional Park System","Dakota County Parks","Regional Park",TRUE
"Lake Elmo","Metropolitan Regional Park System","Washington County Parks","Regional Park",TRUE
"Lake George","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE
"Lake Minnetonka","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Lake Minnewashta","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE
"Lake Rebecca","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Lake Sarah","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE
"Lake Waconia","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE
"Lebanon Hills","Metropolitan Regional Park System","Dakota County Parks","Regional Park",TRUE
"Lilydale-Harriet Island (Dakota County Parks)","Metropolitan Regional Park System","Dakota County Parks","Regional Park",TRUE
"Lilydale-Harriet Island (St. Paul Parks and Recreation)","Metropolitan Regional Park System","St. Paul Parks and Recreation","Regional Park",TRUE
"Long Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE
"Martin-Island-Linwood","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE
"Miesville Ravine","Metropolitan Regional Park System","Dakota County Parks","Regional Park",TRUE
"Minneapolis Chain of Lakes","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE
