"Park name","System","Implementing agency","Unit type","Core park","Season","Vehicle visits"
"Baker","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE,"Fall-2021",33038
"Baker","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE,"Spring-2018",33949
"Baker","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE,"Spring-2019",28966
"Baker","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE,"Spring-2020",45939
"Baker","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE,"Spring-2021",47392
"Baker","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE,"Summer-2018",99072
"Baker","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE,"Summer-2019",87755
"Baker","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE,"Summer-2020",141818
"Baker","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE,"Summer-2021",88525
"Baker","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE,"Winter-2018",18026
"Baker","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE,"Winter-2019",16017
"Baker","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE,"Winter-2020",18936
"Baker","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE,"Winter-2021",25654
"Baker","Metropolitan Regional Park System","Three Rivers Park District","Regional Park",TRUE,"Winter-2022",4111
"Bald Eagle-Otter Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Fall-2018",29809
"Bald Eagle-Otter Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Fall-2019",28915
"Bald Eagle-Otter Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Fall-2020",37508
"Bald Eagle-Otter Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Fall-2021",28954
"Bald Eagle-Otter Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Spring-2018",27242
"Bald Eagle-Otter Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Spring-2019",35911
"Bald Eagle-Otter Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Spring-2020",36581
"Bald Eagle-Otter Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Spring-2021",39052
"Bald Eagle-Otter Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Summer-2018",59037
"Bald Eagle-Otter Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Summer-2019",53368
"Bald Eagle-Otter Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Summer-2020",53172
"Bald Eagle-Otter Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Summer-2021",44417
"Bald Eagle-Otter Lake","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Winter-2018",12403
